Electron temperature : 5 eV 
Time (s)	Gas Temperature (K)	H2	H	O	O2	OH	H2O	HO2	CH2	CH2(S)	CH3	CH4	CO	CO2	HCO	CH2O	CH3O	C2H4	C2H5	C2H6	N2	Ar	e	N2(A)	N2(B)	N2(C)	N2(a')	N2+	CH4+	H2O+	CO2+	O2+
5.0e-04	3.0e+02	0.0e+00	0.0e+00	0.0e+00	1.2e+18	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.0e+17	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.8e+18	0.0e+00	1.0e+15	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
5.1e-04	3.0e+02	0.0e+00	0.0e+00	0.0e+00	1.2e+18	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.0e+17	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.8e+18	0.0e+00	1.0e+15	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
5.1e-04	3.0e+02	0.0e+00	0.0e+00	0.0e+00	1.2e+18	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.0e+17	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.8e+18	0.0e+00	1.0e+15	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
5.1e-04	3.0e+02	0.0e+00	0.0e+00	0.0e+00	1.2e+18	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.0e+17	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.8e+18	0.0e+00	1.0e+15	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
5.1e-04	3.0e+02	0.0e+00	0.0e+00	0.0e+00	1.2e+18	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.0e+17	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.8e+18	0.0e+00	1.0e+15	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
5.1e-04	3.0e+02	0.0e+00	0.0e+00	0.0e+00	1.2e+18	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.0e+17	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.8e+18	0.0e+00	1.0e+15	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
5.1e-04	3.0e+02	0.0e+00	0.0e+00	0.0e+00	1.2e+18	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.0e+17	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.8e+18	0.0e+00	1.0e+15	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
5.1e-04	3.0e+02	0.0e+00	0.0e+00	0.0e+00	1.2e+18	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.0e+17	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.8e+18	0.0e+00	1.0e+15	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
5.1e-04	3.0e+02	0.0e+00	0.0e+00	0.0e+00	1.2e+18	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.0e+17	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.8e+18	0.0e+00	1.0e+15	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
5.1e-04	3.0e+02	0.0e+00	0.0e+00	0.0e+00	1.2e+18	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.0e+17	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.8e+18	0.0e+00	1.0e+15	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
5.1e-04	3.0e+02	0.0e+00	0.0e+00	0.0e+00	1.2e+18	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.0e+17	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.8e+18	0.0e+00	1.0e+15	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
5.2e-04	3.0e+02	0.0e+00	0.0e+00	0.0e+00	1.2e+18	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.0e+17	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.8e+18	0.0e+00	1.0e+15	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
5.2e-04	3.0e+02	0.0e+00	0.0e+00	0.0e+00	1.2e+18	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.0e+17	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.8e+18	0.0e+00	1.0e+15	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
5.2e-04	3.0e+02	0.0e+00	0.0e+00	0.0e+00	1.2e+18	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.0e+17	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.8e+18	0.0e+00	1.0e+15	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
5.2e-04	3.0e+02	0.0e+00	0.0e+00	0.0e+00	1.2e+18	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.0e+17	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.8e+18	0.0e+00	1.0e+15	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
5.2e-04	3.0e+02	0.0e+00	0.0e+00	0.0e+00	1.2e+18	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.0e+17	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.8e+18	0.0e+00	1.0e+15	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
5.2e-04	3.0e+02	0.0e+00	0.0e+00	0.0e+00	1.2e+18	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.0e+17	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.8e+18	0.0e+00	1.0e+15	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
5.2e-04	3.0e+02	0.0e+00	0.0e+00	0.0e+00	1.2e+18	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.0e+17	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.8e+18	0.0e+00	1.0e+15	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
5.2e-04	3.0e+02	0.0e+00	0.0e+00	0.0e+00	1.2e+18	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.0e+17	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.8e+18	0.0e+00	1.0e+15	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
5.2e-04	3.0e+02	0.0e+00	0.0e+00	0.0e+00	1.2e+18	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.0e+17	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.8e+18	0.0e+00	1.0e+15	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
5.2e-04	3.0e+02	0.0e+00	0.0e+00	0.0e+00	1.2e+18	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.0e+17	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.8e+18	0.0e+00	1.0e+15	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
5.3e-04	3.0e+02	0.0e+00	0.0e+00	0.0e+00	1.2e+18	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.0e+17	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.8e+18	0.0e+00	1.0e+15	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
5.3e-04	3.0e+02	0.0e+00	0.0e+00	0.0e+00	1.2e+18	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.0e+17	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.8e+18	0.0e+00	1.0e+15	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
5.3e-04	3.0e+02	0.0e+00	0.0e+00	0.0e+00	1.2e+18	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.0e+17	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.8e+18	0.0e+00	1.0e+15	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
5.3e-04	3.0e+02	0.0e+00	0.0e+00	0.0e+00	1.2e+18	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.0e+17	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.8e+18	0.0e+00	1.0e+15	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
5.3e-04	3.0e+02	0.0e+00	0.0e+00	0.0e+00	1.2e+18	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.0e+17	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.8e+18	0.0e+00	1.0e+15	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
5.3e-04	3.0e+02	0.0e+00	0.0e+00	0.0e+00	1.2e+18	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.0e+17	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.8e+18	0.0e+00	1.0e+15	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
5.3e-04	3.0e+02	0.0e+00	0.0e+00	0.0e+00	1.2e+18	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.0e+17	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.8e+18	0.0e+00	1.0e+15	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
5.3e-04	3.0e+02	0.0e+00	0.0e+00	0.0e+00	1.2e+18	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.0e+17	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.8e+18	0.0e+00	1.0e+15	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
5.3e-04	3.0e+02	0.0e+00	0.0e+00	0.0e+00	1.2e+18	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.0e+17	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.8e+18	0.0e+00	1.0e+15	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
5.3e-04	3.0e+02	0.0e+00	0.0e+00	0.0e+00	1.2e+18	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.0e+17	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.8e+18	0.0e+00	1.0e+15	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
5.3e-04	3.0e+02	0.0e+00	0.0e+00	0.0e+00	1.2e+18	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.0e+17	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.8e+18	0.0e+00	1.0e+15	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
5.4e-04	3.0e+02	0.0e+00	0.0e+00	0.0e+00	1.2e+18	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.0e+17	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.8e+18	0.0e+00	1.0e+15	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
5.4e-04	3.0e+02	0.0e+00	0.0e+00	0.0e+00	1.2e+18	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.0e+17	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.8e+18	0.0e+00	1.0e+15	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
5.4e-04	3.0e+02	0.0e+00	0.0e+00	0.0e+00	1.2e+18	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.0e+17	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.8e+18	0.0e+00	1.0e+15	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
5.4e-04	3.0e+02	0.0e+00	0.0e+00	0.0e+00	1.2e+18	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.0e+17	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.8e+18	0.0e+00	1.0e+15	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
5.4e-04	3.0e+02	0.0e+00	0.0e+00	0.0e+00	1.2e+18	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.0e+17	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.8e+18	0.0e+00	1.0e+15	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
5.4e-04	3.0e+02	0.0e+00	0.0e+00	0.0e+00	1.2e+18	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.0e+17	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.8e+18	0.0e+00	1.0e+15	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
5.4e-04	3.0e+02	0.0e+00	0.0e+00	0.0e+00	1.2e+18	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.0e+17	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.8e+18	0.0e+00	1.0e+15	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
5.4e-04	3.0e+02	0.0e+00	0.0e+00	0.0e+00	1.2e+18	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.0e+17	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.8e+18	0.0e+00	1.0e+15	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
5.4e-04	3.0e+02	0.0e+00	0.0e+00	0.0e+00	1.2e+18	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.0e+17	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.8e+18	0.0e+00	1.0e+15	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
5.5e-04	3.0e+02	0.0e+00	0.0e+00	0.0e+00	1.2e+18	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.0e+17	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.8e+18	0.0e+00	1.0e+15	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
5.5e-04	3.0e+02	0.0e+00	0.0e+00	0.0e+00	1.2e+18	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.0e+17	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.8e+18	0.0e+00	1.0e+15	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
5.5e-04	3.0e+02	0.0e+00	0.0e+00	0.0e+00	1.2e+18	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.0e+17	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.8e+18	0.0e+00	1.0e+15	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
5.5e-04	3.0e+02	0.0e+00	0.0e+00	0.0e+00	1.2e+18	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.0e+17	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.8e+18	0.0e+00	1.0e+15	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
5.5e-04	3.0e+02	0.0e+00	0.0e+00	0.0e+00	1.2e+18	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.0e+17	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.8e+18	0.0e+00	1.0e+15	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
5.5e-04	3.0e+02	0.0e+00	0.0e+00	0.0e+00	1.2e+18	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.0e+17	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.8e+18	0.0e+00	1.0e+15	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
5.5e-04	3.0e+02	0.0e+00	0.0e+00	0.0e+00	1.2e+18	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.0e+17	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.8e+18	0.0e+00	1.0e+15	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
5.5e-04	3.0e+02	0.0e+00	0.0e+00	0.0e+00	1.2e+18	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.0e+17	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.8e+18	0.0e+00	1.0e+15	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
5.5e-04	3.0e+02	0.0e+00	0.0e+00	0.0e+00	1.2e+18	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.0e+17	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.8e+18	0.0e+00	1.0e+15	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
5.5e-04	3.0e+02	0.0e+00	0.0e+00	0.0e+00	1.2e+18	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.0e+17	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.8e+18	0.0e+00	1.0e+15	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
5.6e-04	3.0e+02	0.0e+00	0.0e+00	0.0e+00	1.2e+18	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.0e+17	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.8e+18	0.0e+00	1.0e+15	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
5.6e-04	3.0e+02	0.0e+00	0.0e+00	0.0e+00	1.2e+18	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.0e+17	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.8e+18	0.0e+00	1.0e+15	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
5.6e-04	3.0e+02	0.0e+00	0.0e+00	0.0e+00	1.2e+18	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.0e+17	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.8e+18	0.0e+00	1.0e+15	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
5.6e-04	3.0e+02	0.0e+00	0.0e+00	0.0e+00	1.2e+18	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.0e+17	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.8e+18	0.0e+00	1.0e+15	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
5.6e-04	3.0e+02	0.0e+00	0.0e+00	0.0e+00	1.2e+18	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.0e+17	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.8e+18	0.0e+00	1.0e+15	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
5.6e-04	3.0e+02	0.0e+00	0.0e+00	0.0e+00	1.2e+18	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.0e+17	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.8e+18	0.0e+00	1.0e+15	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
5.6e-04	3.0e+02	0.0e+00	0.0e+00	0.0e+00	1.2e+18	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.0e+17	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.8e+18	0.0e+00	1.0e+15	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
5.6e-04	3.0e+02	0.0e+00	0.0e+00	0.0e+00	1.2e+18	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	6.0e+17	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	4.8e+18	0.0e+00	1.0e+15	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00	0.0e+00
